ERROR 2025-05-14 10:49:44,907 activity 28504 25008 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:49:50,208 activity 28504 27792 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:49:54,862 activity 28504 21756 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:49:57,015 activity 28504 18192 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:49:58,361 activity 28504 33172 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:49:59,661 activity 28504 10824 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:00,676 activity 28504 22728 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:02,080 activity 28504 12432 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:03,940 activity 28504 36312 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:04,542 activity 28504 19180 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
ERROR 2025-05-14 10:50:05,225 activity 28504 18176 Error logging user activity: {'tried': [[<URLResolver <URLPattern list> (admin:admin) 'admin/'>], [<URLResolver <module 'api.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\api\\urls.py'> (None:None) 'api/'>], [<URLResolver <module 'admindashboard.urls' from 'C:\\Users\\AJMAL\\Desktop\\amal\\COD\\keralatechreach_django\\admindashboard\\urls.py'> (admindashboard:admindashboard) 'admindashboard/'>], [<URLPattern '' [name='root']>], [<URLPattern '^media/(?P<path>.*)$'>], [<URLPattern '^static/(?P<path>.*)$'>]], 'path': 'ws/dashboard/'}
